信号时间,方向,突破基准价,入场KAMA,出场时间,出场价,实际涨跌幅,盘中最大涨跌幅,持仓K线数,持仓小时,最大回撤1,最大回撤1时间,最大回撤2,最大回撤2时间,最大回撤3,最大回撤3时间,KAMA止损出场,峰值到平仓回撤
2022-09-13 20:00,short,22003.9,22053.399611652258,2022-09-17 08:00,20065.02268605534,0.08811516658159055,0.12288276169224552,21,84.0,0.01171036069904919,2022-09-15 04:00,0.006319903712681357,2022-09-14 08:00,0.0,2022-09-14 00:00,True,0.022881742684219233
2022-11-07 04:00,short,21133.8,21218.151479042906,2022-11-09 00:00,20021.45332110687,0.0526335386392002,0.20364534537092238,11,44.0,0.009625915571062313,2022-11-08 00:00,0.0059197301231545185,2022-11-07 20:00,0.004450195244807083,2022-11-07 16:00,True,0.0
2023-01-11 00:00,long,17387.8,17174.951103319163,2023-01-15 08:00,20677.246526713025,0.18918129531700534,0.23902966447739224,26,104.0,0.01252125374470729,2023-01-14 16:00,0.0076575983136815745,2023-01-12 20:00,0.0064116166105602015,2023-01-11 20:00,True,0.015195699875072018
2023-01-21 00:00,long,21250.0,20949.372544230748,2023-01-22 04:00,22729.487154258855,0.06962292490629907,0.10070588235294117,7,28.0,0.021055435954949953,2023-01-22 04:00,0.005268941048757473,2023-01-21 08:00,0.0,2023-01-21 04:00,True,0.02330763047886705
2023-02-14 20:00,long,21880.0,21808.01903572478,2023-02-17 04:00,24634.22389027348,0.12587860558836741,0.15585009140767825,14,56.0,0.06231915249778806,2023-02-17 04:00,0.008417629193868553,2023-02-17 00:00,0.006507416838446309,2023-02-16 16:00,True,0.009838663520500064
2023-03-09 04:00,short,21800.0,22207.574688915123,2023-03-10 20:00,20189.99755172192,0.07385332331550822,0.10451376146788997,10,40.0,0.010272536687631034,2023-03-10 20:00,0.0,2023-03-09 08:00,0.0,,True,0.021792848195981842
2023-03-13 00:00,long,20531.0,20152.910452693053,2023-03-15 00:00,24502.237762131736,0.19342641674208444,0.2902391505528226,12,48.0,0.03264212910969341,2023-03-15 00:00,0.01598995171836307,2023-03-13 16:00,0.0,2023-03-13 04:00,True,0.05438022167426041
2023-03-17 08:00,long,25167.9,24627.07569193137,2023-03-19 00:00,27000.182431895344,0.07280235664856195,0.10312739640573905,10,40.0,0.018633355750331607,2023-03-17 20:00,0.0,2023-03-17 12:00,0.0,,True,0.01602833703005306
2023-06-21 00:00,long,27177.3,26686.320525705345,2023-06-22 16:00,29984.988294442282,0.10331005267051117,0.1341082447483746,10,40.0,0.012032875771454654,2023-06-22 16:00,0.0062475853346850175,2023-06-22 12:00,0.003886333062065064,2023-06-22 04:00,True,0.009863778387638175
2023-08-16 00:00,short,29233.0,29432.393041065076,2023-08-19 20:00,25983.735772085944,0.11115055683351201,0.15913522389080834,23,92.0,0.009692825222216749,2023-08-19 20:00,0.002917696640596463,2023-08-18 16:00,0.0009529599825120387,2023-08-16 08:00,True,0.003792209594118442
2023-10-16 00:00,long,26958.0,26893.460298872797,2023-10-17 12:00,28123.20104585388,0.04322282980391271,0.13955041175161362,9,36.0,0.007947680112896295,2023-10-17 08:00,0.003599499949707609,2023-10-16 16:00,0.0,2023-10-16 04:00,True,0.01274644141731711
2023-10-23 08:00,long,30229.7,29738.897920024563,2023-10-24 20:00,33497.679620221126,0.10810493058882904,0.19028306599139258,9,36.0,0.02535455861070912,2023-10-24 20:00,0.001326637531514905,2023-10-24 12:00,0.0,2023-10-23 12:00,True,0.030457898112268414
2023-12-01 12:00,long,38132.0,37658.178805385796,2023-12-05 12:00,41427.12178104437,0.08641355766926388,0.11297597818105529,24,96.0,0.011114021094735905,2023-12-05 12:00,0.007813795639560701,2023-12-04 20:00,0.005115887168781553,2023-12-04 00:00,True,0.013477886104041572
2024-02-08 00:00,long,43378.8,42885.12275852496,2024-02-10 16:00,47052.737699003395,0.08469431378930244,0.11184034597545343,16,64.0,0.007793843263937699,2024-02-10 04:00,0.003219817514309787,2024-02-09 00:00,0.0005120879713229772,2024-02-08 12:00,True,0.009128174101035705
2024-02-27 00:00,long,52885.5,51677.319977414314,2024-03-01 00:00,61970.10467482642,0.17177874227957418,0.21583420786415936,18,72.0,0.021231422505307847,2024-03-01 00:00,0.013591431301099929,2024-02-29 08:00,0.00744719963338998,2024-02-28 08:00,True,0.01665659562825625
2024-04-12 20:00,short,69592.6,70081.32768868898,2024-04-15 04:00,65033.01680602001,0.0655182188045855,0.142832714972569,14,56.0,0.0288714499745896,2024-04-15 04:00,0.01348003141644618,2024-04-14 12:00,0.011279396330358916,2024-04-13 20:00,True,0.024669266240644434
2024-07-02 20:00,short,62387.0,62826.8835581606,2024-07-06 00:00,56683.55121053836,0.09142046883904723,0.1451824899418148,19,76.0,0.03194022556070502,2024-07-05 20:00,0.015195085288543225,2024-07-05 16:00,0.00839773439323763,2024-07-04 04:00,True,0.0404729619359459
2024-07-13 16:00,long,58500.0,57902.881392010044,2024-07-16 12:00,63573.93368310991,0.08673390911298998,0.11091965811965816,17,68.0,0.02847890540145933,2024-07-16 12:00,0.006114684156902672,2024-07-15 16:00,0.003603220622869167,2024-07-14 00:00,True,0.0
2024-08-03 04:00,short,62350.0,64728.87305878992,2024-08-06 00:00,55258.93152279655,0.11373004774985487,0.21591018444266238,17,68.0,0.04051336000610493,2024-08-05 20:00,0.01028793501573278,2024-08-04 16:00,0.007577155635645291,2024-08-04 08:00,True,0.07133926433539992
2024-11-06 08:00,long,70537.4,68998.66380422038,2024-11-12 16:00,86956.4393014999,0.23277069046349738,0.27691267327687175,38,152.0,0.0209427198261638,2024-11-12 16:00,0.013730266863102258,2024-11-07 16:00,0.01342558947161547,2024-11-07 12:00,True,0.02400753235857408
2025-02-02 04:00,short,101344.0,102768.71253697971,2025-02-03 20:00,96827.77570243394,0.04456331206155335,0.10078248342279757,10,40.0,0.0441738800806724,2025-02-03 20:00,0.011680394235157305,2025-02-03 12:00,0.00468826412929212,2025-02-02 20:00,True,0.029187654905129565
2025-02-22 00:00,short,96838.1,97471.12086724551,2025-02-28 20:00,84330.22044748941,0.12916279390560736,0.19246453616913187,41,164.0,0.04181238828009648,2025-02-28 20:00,0.025702768102457862,2025-02-27 16:00,0.021811802534862958,2025-02-27 12:00,True,0.04572406460019163
2025-04-21 08:00,long,85283.6,84510.767601791,2025-04-23 20:00,92222.50022820779,0.08136265622238958,0.1128083242264632,15,60.0,0.010225020589251047,2025-04-23 20:00,0.007197470842963819,2025-04-23 16:00,0.007139983681335904,2025-04-22 00:00,True,0.0
2025-10-11 00:00,short,118424.4,121862.21946797603,2025-10-12 16:00,112071.14119863468,0.05364822453282698,0.14277378648319092,10,40.0,0.014907110183297687,2025-10-11 16:00,0.0,2025-10-11 04:00,0.0,,True,0.015458405974149105
2025-11-14 00:00,short,100711.0,103615.76214951,2025-11-20 12:00,93127.99321290333,0.07529472239474014,0.12060847375162599,39,156.0,0.03150999028999433,2025-11-20 08:00,0.024188264726318433,2025-11-19 00:00,0.021559458161241173,2025-11-18 20:00,True,0.017385677034850985
2026-02-04 00:00,short,77000.5,78039.96007003277,2026-02-06 12:00,65507.25389609773,0.14926196718076204,0.2233816663528159,15,60.0,0.02132160833244635,2026-02-06 12:00,0.013935691720553174,2026-02-06 08:00,0.011865550169544511,2026-02-04 08:00,True,0.020900798227160833
2026-06-01 12:00,short,73171.0,73750.98713942099,2026-06-03 12:00,67343.87624933393,0.07963706592319456,0.10676224187177982,12,48.0,0.016992533865848064,2026-06-03 12:00,0.006267725995646161,2026-06-02 00:00,0.0,2026-06-01 16:00,True,0.022652041051008324
2026-08-19 20:00,long,65057.9,64316.35866034309,2026-08-21 20:00,76712.6,0.17914350140413393,0.22284149964877437,12,48.0,0.0018251334583754123,2026-08-20 08:00,0.0,2026-08-20 00:00,0.0,,False,0.00047427328043354546
