序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,取消原因,成交时间,成交价格,入场价,紧止损价,确认阈值,止盈价,加仓阈值,确认,出场时间,出场价,出场类型,持仓K数,R值,前3K
317,2021/04/26 12:00,做多,52816.0,52500.0,50577.9,1736.8702507106027,52314.7702507106,是,,2021/04/26 16:00,52816.01,52816.01,52294.94892478682,53684.445125355305,61705.038,53183.205376065904,否,2021/04/26 16:00,53591.99,弱突破平仓,0,0.44676912376299877,是
318,2021/04/27 12:00,做多,54524.36,54364.89,54364.89,1597.233678100799,55962.1236781008,否,KAMA,,,,,,,,,2021/04/28 12:00,,挂单取消,0,,
319,2021/04/30 20:00,做多,57138.23,54850.0,54540.0,1297.4953729542967,55837.4953729543,是,,2021/05/01 00:00,57139.14,57139.14,56749.89138811371,57787.887686477145,66538.8,56486.24305943144,否,2021/05/01 00:00,57060.17,弱突破平仓,0,-0.06086341550505307,是
320,2021/05/02 08:00,做空,56510.01,57051.23,57051.23,1240.0138057873244,55811.21619421268,否,KAMA,,,,,,,,,2021/05/02 12:00,,挂单取消,0,,
321,2021/05/03 08:00,做多,58004.55,57959.97,57959.97,1175.8513586416807,59135.82135864168,否,KAMA,,,,,,,,,2021/05/04 04:00,,挂单取消,0,,
322,2021/05/04 08:00,做空,55519.15,56500.65,56559.8,1187.1248025894497,55372.67519741055,是,,2021/05/04 12:00,55372.67519741055,55372.67519741055,55728.81263818739,54779.11279611583,49772.624,54779.11279611583,否,2021/05/04 12:00,55951.22,弱突破平仓,0,-0.48734960412543304,是
323,2021/05/04 20:00,做空,53881.84,54450.31,54450.31,1252.6366088701295,53197.673391129865,是,,2021/05/05 04:00,53197.673391129865,53197.673391129865,53573.46437379091,52571.3550866948,47916.2728,52571.355086694806,是,2021/05/05 04:00,54587.94,止损,0,-1.1098722478853216,是
324,2021/05/05 20:00,做多,57596.1,56399.0,56399.0,1410.7667497768384,57809.76674977684,是,,2021/05/06 00:00,57809.76674977684,57809.76674977684,57386.53672484379,58515.15012466526,68806.78,58515.150124665255,否,2021/05/06 00:00,57243.4,弱突破平仓,0,-0.40146023420698757,是
325,2021/05/06 16:00,做多,58081.3,57940.0,57940.0,1386.8661592705246,59326.866159270525,否,KAMA,,,,,,,,,2021/05/07 00:00,,挂单取消,0,,
326,2021/05/09 20:00,做空,57461.83,57529.94,57529.94,1354.2162369978653,56175.72376300213,否,KAMA,,,,,,,,,2021/05/10 00:00,,挂单取消,0,,
327,2021/05/10 08:00,做多,59428.55,59335.19,59335.19,1342.435622446045,60677.625622446045,否,KAMA,,,,,,,,,2021/05/10 16:00,,挂单取消,0,,
328,2021/05/11 00:00,做空,55828.14,56700.0,57085.95,1356.3237708299441,55729.626229170055,是,,2021/05/11 04:00,55729.626229170055,55729.626229170055,56136.523360419036,55051.464343755084,50235.636,55051.464343755084,否,2021/05/11 04:00,55869.67,弱突破平仓,0,-0.10325246363871472,是
329,2021/05/12 08:00,做多,57813.05,56908.66,56500.0,1438.3300901579598,57938.33009015796,是,,2021/05/12 12:00,57938.33009015796,57938.33009015796,57506.83106311057,58657.49513523694,68930.0,58657.49513523694,否,2021/05/12 12:00,57177.01,弱突破平仓,0,-0.5293083245406799,是
