突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
9023,2023-10-21 12:00:00+00:00,29420.51,396.09,29816.59,34841.4,9047,9053,16.85,30,33
11328,2024-11-08 16:00:00+00:00,75148.64,1168.79,76317.43,89095.4,11349,11351,16.74,23,23
9023,2023-10-21 12:00:00+00:00,29463.36,388.04,29851.39,34841.4,9047,9053,16.72,30,32
7332,2023-01-12 16:00:00+00:00,18125.01,165.06,18290.07,21337.2,7362,7368,16.66,36,36
6245,2022-07-15 12:00:00+00:00,20215.28,489.36,20704.64,24153.4,6275,6280,16.66,35,35
5279,2022-02-04 12:00:00+00:00,37714.73,745.39,38460.12,44842.26,5301,5303,16.59,24,24
11329,2024-11-08 20:00:00+00:00,75267.05,1178.5,76445.55,89095.4,11349,11351,16.55,22,22
9023,2023-10-21 12:00:00+00:00,29519.33,378.71,29898.04,34841.4,9047,9053,16.53,30,31
11331,2024-11-09 04:00:00+00:00,75371.11,1126.48,76497.59,89095.4,11349,11351,16.47,20,20
11331,2024-11-09 04:00:00+00:00,75346.75,1159.67,76506.42,89095.4,11349,11351,16.45,20,21
3166,2021-02-17 08:00:00+00:00,48500.73,1492.78,49993.5,58181.35,3192,3194,16.38,28,28
3286,2021-03-09 08:00:00+00:00,51393.22,1420.89,52814.11,61432.39,3314,3319,16.32,33,33
699,2020-01-03 04:00:00+00:00,7087.83,80.83,7168.67,8335.28,730,732,16.27,33,33
9024,2023-10-21 16:00:00+00:00,29598.27,372.62,29970.89,34841.4,9047,9053,16.25,29,30
6246,2022-07-15 16:00:00+00:00,20321.97,481.69,20803.66,24153.4,6275,6280,16.1,34,34
6578,2022-09-09 00:00:00+00:00,19103.36,315.02,19418.37,22516.3,6604,6605,15.95,27,34
700,2020-01-03 08:00:00+00:00,7094.01,94.5,7188.51,8335.28,730,732,15.95,32,32
9024,2023-10-21 16:00:00+00:00,29684.35,370.13,30054.48,34841.4,9047,9053,15.93,29,29
4183,2021-08-05 20:00:00+00:00,39006.67,1062.35,40069.03,46448.42,4218,4222,15.92,39,39
