方向,起始K,结束K,起始时间,结束时间,持续K数,截断,KAMA参考,突破KATR,起点价,极值价,极值K,极值时间,极值年龄K,涨跌幅%,终结K收盘,峰前回撤%,全程回撤%,峰值回吐%,突破K实体%,突破K顺向涨跌%,突破K振幅ATR,收盘距KAMA_ATR,ATR%,量比,EMA70偏离%,距20K高_ATR,距20K低_ATR,前波涨幅%,前波同向,前休整K,3K后剩余%,5K后剩余%,8K后剩余%,10K后剩余%,15K后剩余%,20K后剩余%
做多,1818,1819,2020-07-07 16:00:00+00:00,2020-07-07 20:00:00+00:00,2,False,9239.198321422364,83.13574508063012,9369.62574508063,9286.49,1818,2020-07-07 16:00:00+00:00,1,-0.8872899232317685,9258.51,1.490195541203318,0.9181079180616166,0.30129790695946007,62.32961586121307,-0.37962305080651015,0.6794911135422235,0.006996732597666313,0.8997589237041369,0.6045500771924233,1.9947357844506324,-1.6866391209221188,4.087050638332059,-0.9012511539347481,True,-1.0,,,,,,
做多,1819,1820,2020-07-07 20:00:00+00:00,2020-07-08 00:00:00+00:00,2,False,9239.246477034192,82.3744578265986,9351.514457826597,9320.0,1820,2020-07-08 00:00:00+00:00,2,-0.336998439864697,9310.0,1.6070601024502456,0.9284334763948567,0.1072961373390558,27.565896038874076,0.20271045414501643,0.8244060330321447,0.23385310779657614,0.8897161403573426,0.7206432835099078,2.201489776563293,-1.4748503748059976,4.352198599651818,-0.8872899232317685,True,-1.0,,,,,,
做多,1820,1829,2020-07-08 00:00:00+00:00,2020-07-09 12:00:00+00:00,10,False,9239.843023520858,82.5822349352687,9402.58223493527,9470.0,1823,2020-07-08 12:00:00+00:00,4,0.7170132989025098,9211.0,1.7985722507901487,3.2277719112988392,2.7349524815205912,59.5053738587766,0.5561370026062384,1.0478040472969323,0.8495407823987073,0.8870272280909635,0.8837777737298576,2.7067084858744943,-0.8476399319401907,4.964748172792546,-0.336998439864697,True,-1.0,1.5953064408485085,0.0,0.0,0.0,,
做空,1829,1836,2020-07-09 12:00:00+00:00,2020-07-10 16:00:00+00:00,8,False,9324.931250697215,88.74422339349556,9075.585776606504,9121.42,1833,2020-07-10 04:00:00+00:00,5,-0.5050277141519615,9234.43,3.960231683556261,2.953516514573352,1.2389518298685973,71.03114493663877,2.0445058889213885,3.0500013369866124,1.283815963908307,0.9634591618010592,3.367083463518751,1.4976459361364463,-2.9184998200004895,1.474574851140022,0.7170132989025098,False,-1.0,0.4728069466392564,0.0,0.0,,,
做空,1836,1837,2020-07-10 16:00:00+00:00,2020-07-10 20:00:00+00:00,2,False,9252.011727973151,81.07133741940495,9125.928662580594,9207.0,1836,2020-07-10 16:00:00+00:00,1,-0.8883626030502036,9288.39,1.4010775467014263,1.1973498425111304,0.8840013033561358,23.509296858302616,0.12027407779957588,0.5771460233589458,0.21686737301736703,0.8779246517587438,0.5280770190702363,1.7058323644521003,-2.9057125181163532,1.3939575144217435,-0.5050277141519615,True,-1.0,,,,,,
做多,1837,1840,2020-07-10 20:00:00+00:00,2020-07-11 08:00:00+00:00,4,False,9250.613839405143,82.42977054843469,9399.669770548435,9317.24,1837,2020-07-10 20:00:00+00:00,1,-0.8769432603548325,9199.39,2.0284730762122294,1.4846671331853631,1.2648595506823948,49.852180339984514,0.5843349291726696,1.3131178126524,0.4582829764479263,0.8874494993043432,0.8614914532952976,2.3001350679633887,-2.2032088502938247,2.0256031151013563,-0.8883626030502036,False,-1.0,0.0,,,,,
做空,1840,1843,2020-07-11 08:00:00+00:00,2020-07-11 20:00:00+00:00,4,False,9253.763966530036,78.52149202396421,9100.388507976035,9178.91,1840,2020-07-11 08:00:00+00:00,1,-0.8628367014786774,9233.5,1.8824635000343113,1.0109043448514135,0.5947329258049174,76.0642310593806,0.76149031605246,1.1817146822895572,0.6924724063246503,0.8535510726685597,0.9679271008406855,1.2546338425231995,-3.4463176007584306,0.9929765468058533,-0.8769432603548325,False,-1.0,0.0,,,,,
做空,1843,1844,2020-07-11 20:00:00+00:00,2020-07-12 00:00:00+00:00,2,False,9252.543608980111,73.85245672404633,9128.497543275955,9202.35,1843,2020-07-11 20:00:00+00:00,1,-0.8090318957082405,9270.72,1.3778001925047305,1.0068080435975553,0.7429623954750578,54.27580893682637,-0.3061273263721409,0.7030233292577109,0.2578601961918332,0.7998316643098102,0.3093564901239505,1.630071296568362,-3.202330843017111,1.517620468859863,-0.8628367014786774,True,-1.0,,,,,,
做多,1844,1845,2020-07-12 00:00:00+00:00,2020-07-12 04:00:00+00:00,2,False,9251.68183096519,73.35833388784398,9368.358333887843,9295.0,1844,2020-07-12 00:00:00+00:00,1,-0.7830436376722141,9256.21,1.46587405171181,0.6882194728348504,0.4173211403980729,58.18352352665269,0.40309741701411994,0.8720208953736835,0.25952292024402474,0.7912905781626884,0.6882876690601268,1.992725378420458,-2.6620015702450406,2.035215252138372,-0.8090318957082405,False,-1.0,,,,,,
做多,1845,1846,2020-07-12 04:00:00+00:00,2020-07-12 08:00:00+00:00,2,False,9252.868138875108,71.74041719345178,9354.740417193452,9283.0,1845,2020-07-12 04:00:00+00:00,1,-0.7668883795171659,9246.53,1.2051688466549229,0.44166756436496823,0.3928686846924415,34.21951219512355,-0.156514272893582,0.5715049006397797,0.04658268317396707,0.7750517457301831,0.4082239147534561,1.8330922058900714,-2.9242930025663387,1.8788572087130577,-0.7830436376722141,True,-1.0,,,,,,
